parameter,value
device_diameter_mm,25.0
device_area_mm2,490.8738521234052
device_area_cm2,4.908738521234052
power_ref_w,9.686137317129893
R_single,0.05800275919800791
eta_single,0.20412100021943994
alpha_global,0.20412100021943994
rmse_log10_resp,0.02842840423969288
t_start_s,-0.04898741449679761
t_on_s,1.068337648393849
t_off_s,0.9223315712785959
dark_current_a,6.356698497315807e-06
R_single_transient,3.028054353157786e-08
alpha,1.5947723088412087
beta,107.91851493290864
delta,7.322768715237773e-08
tau_rise_single,0.03823004751832717
tau_fall_single,0.11059406603516073
rise_time_10_90_s_fixed,0.084
fall_time_90_10_s_fixed,0.243
main_branch_ceiling_ua,6.65
power_density_on_w_mm2,0.019732436908647576
power_on_w,9.686137317129893
baseline_a,6.357057721979809e-06
baseline_std_a,0.0
plateau_on_a,6.703212306189078e-06
plateau_on_std_a,3.1091125942144054e-09
plateau_off_a,6.3574396320928425e-06
plateau_off_std_a,2.5994437890132827e-10
tau_rise_s_10_90,0.19719027764289088
tau_fall_s_10_90,0.24090045555954642
rise_edge_s,5.923020244520537
fall_edge_s,6.991357892914387
t10_r_s,6.004234719755906
t90_r_s,6.201424997398797
t90_f_s,7.019019428676005
t10_f_s,7.2599198842355515
tau_rise_main_fixed_s,0.084
tau_fall_main_fixed_s,0.243
tau_rise_param_fixed_s,0.03823004751832717
tau_fall_param_fixed_s,0.11059406603516073
tau_x2_on_s,0.6270487607893184
tau_x2_off_s,0.009266250565268485
x2_peak_state,0.8159966710192081
x2_peak_current_a,5.968487183650453e-08
x2_residual_state_end,3.761189829184059e-33
baseline_mismatch_a,-3.922887811833423e-09
main_branch_rmse_a,7.440764995103176e-08
x2_target_peak_current_a,8.75011590054914e-08
main_branch_ceiling_a,6.65e-06
gamma,-0.432
tau_drift,491732.9645779016
drift_scale,1.0
noise_scale_vs_case1,5.0
fn_scale_vs_scaled_case1,1.0
fn_scale_vs_case1,5.0
measured_rms_a,3.383033401051487e-08
synthetic_rms_a,7.392222385217216e-09
