photosensitizer,material_category,structure,D_jones,D_note,rise_time_ms,fall_time_ms,responsivity_AW,responsivity_bias_V,stability,ref,notes
Cs3Bi2I9 nanoplates,Bi,Photoconductor,1.0e10,~,10.2,37.2,0.0331,10,Moist air for several months,63,
MA3Bi2I9,Bi,Photodiode,1.3e12,,26.81,41.98,0.00176,0,>2 months,64,resp~1.76mA/W
CsBi3I10,Bi,Photoconductor,1.93e11,,0.33,0.38,21.8,1,3 months,65,
CsBi3I10/Si heterojunctions,Bi,Photodiode,1.38e11,,0.073,0.036,0.4921,-1,3 months,66,original_times:73/36us
CsBi3I10/SWCNTs,Bi,Phototransistor,2.46e14,,370,1010,6.0e4,-20,>500 h,67,rise_time<0.37s;fall_time<1.01s
(TMHD)BiBr5SCs,Bi,Photoconductor,,,9.6,10.3,0.1,10,Under 293 C or 175 h in 60+-5% humidity,69,
Cs2AgBiBr6,Bi,Photoconductor,5.66e11,,0.956,0.995,7.01,5,2 weeks in air,73,original_times:956/995us
Cs2AgBiBr6/SnO2 heterojunctions,Bi,Photodiode,2.1e10,,2,,0.11,0,>6 months,74,single_rise_time:2ms
Cs2AgBiBr6,Bi,Photodiode,9.4e12,,,,1.46,0,373 K for 10 h or 3 months in open air,75,
Cs2AgBiBr6,Bi,Photodiode,3.29e12,,0.000017,,0.14,0,Under 150 C or 2300 h in ambient air,76,single_time~17ns
