photosensitizer,material_category,substrate,waveband,structure,responsivity_AW,responsivity_note,D_jones,D_note,LDR_dB,LDR_note,rise_time_ms,fall_time_ms,response_time_note,ref,notes
MoS2,2D semiconductor,Flexible,Visible,Photoconductor,5.4e2,,1.0e12,~,,,5.0e2,1.15e3,,143,
InSe,2D semiconductor,Flexible,Visible,Photoconductor,5.6e1,,1.92e11,,,,1.7e2,,approx_single,144,original_response_time:~0.17 s
GaTe,2D semiconductor,Flexible,Visible,Photoconductor,2.403e2,,,,,,4.0e2,5.0e2,,145,
ZnO,oxide semiconductor,Flexible,Ultraviolet,Photoconductor,3.24e0,,2.96e1,,,,1.79e4,4.66e4,,146,
Ga2O3,oxide semiconductor,Flexible,Ultraviolet,Photovoltaic,2.275e1,,8.2e13,,9.76e1,,,,not_reported,147,
MAPbI3,perovskite,Rigid,Visible,Photoconductor,2.48e1,,7.7e12,,,,4.0e0,5.8e0,,148,
MAPbI3,perovskite,Flexible,Infrared,Photoconductor,3.6e-2,,,,,,1.0e2,,lt_single,149,original_response_time:< 0.1 s
MAPbI3,perovskite,Rigid,Infrared,Photovoltaic,1.4e-1,,7.37e11,,1.92e2,,2.7e-5,,single,150,original_response_time:27 ns
MAPbI3,perovskite,Flexible,Infrared,Photovoltaic,4.18e-1,,1.22e13,,,,,,not_reported,151,
MAPbBr3,perovskite,Rigid,Visible,Photoconductor,4.0e3,>,1.0e13,>,,,2.5e-2,,approx_single,152,original_response_time:~25 us
MAPbBr3,perovskite,Flexible,Visible,Photoconductor,5.6e3,,6.59e11,,,,3.2e-3,9.2e-3,,75,
MAPbBr3,perovskite,Rigid,Visible,Photovoltaic,2.6e-1,,1.5e13,,2.56e2,,1.0e-4,,single,71,original_response_time:100 ns
MAPbCl3,perovskite,Rigid,Ultraviolet,Photoconductor,7.0e-2,,1.0e11,>,,,4.3e1,3.7e1,,153,
MAPbCl3,perovskite,Rigid,Ultraviolet,Photovoltaic,1.5e-1,>,6.0e12,~,1.9e2,,1.5e-5,,single,154,original_response_time:15 ns
MAPbCl3,perovskite,Flexible,Ultraviolet,Photovoltaic,3.59e-1,,7.95e12,,,,3.91e0,4.55e0,,155,
CsPbBr3,perovskite,Rigid,Visible,Photoconductor,5.5e1,,9.0e12,,,,4.3e-1,3.1e-1,,156,
CsPbBr3,perovskite,Flexible,Visible,Photoconductor,3.11e1,,,,8.5e1,,1.6e-2,,single,81,original_response_time:16 us
CsPbBr3,perovskite,Rigid,Visible,Photovoltaic,1.0e1,~,1.88e13,,1.727e2,,2.8e-2,2.7e-1,,157,
CsPbBr3,perovskite,Flexible,Visible,Photovoltaic,1.01e1,,9.35e13,,,,,,not_reported,133,
CsPbCl3,perovskite,Rigid,Ultraviolet,Photoconductor,2.11e0,,5.6e12,,5.7e1,,7.7e1,6.3e1,,158,
CsPbCl3,perovskite,Flexible,Ultraviolet,Photoconductor,1.0e6,>,2.0e13,,,,3.0e2,3.5e2,,159,
CsPbCl3,perovskite,Rigid,Ultraviolet,Photovoltaic,1.9e-1,,5.47e12,,,,4.27e-3,1.49e-2,,160,
CsPbCl3,perovskite,Flexible,Ultraviolet,Photovoltaic,1.2e-1,,1.4e13,,1.36e2,,5.0e-2,,approx_single,161,original_response_time:~50 us
Cs2AgBiBr6,perovskite,Rigid,Ultraviolet,Photoconductor,7.01e0,,5.66e11,,,,9.56e-1,9.95e-1,,162,
Cs2AgBiBr6,perovskite,Rigid,Ultraviolet,Photovoltaic,7.5e-2,,1.87e12,,1.0e2,,2.4e-1,2.9e-1,,163,
Cs2AgBiBr6,perovskite,Flexible,Ultraviolet,Photovoltaic,2.3e-1,,1.6e13,,1.778e2,,3.7e-3,3.2e-3,,164,
