photosensitizer,material_category,substrate,waveband,structure,EQE_raw,EQE_pct,bias_raw,bias_V,responsivity_AW,responsivity_note,D_raw,D_jones,D_note,LDR_raw,LDR_dB,LDR_note,response_time_raw,rise_time_ms,fall_time_ms,response_time_note,f3db_raw,f3db_Hz,year,ref,notes
ITO/ZnO/P3HT:4Bx/MoOx/Ag,Trap-assisted carrier injection,,300–800,Photodiode,64 000,64000,20,20,,,4.28 × 10^12,4.28e12,,,,,/,,,not_reported,,,2023,91,
ITO/TAPC/AIE:C70/C70/MoOx/C70/BCP/Al,Trap-assisted carrier injection,,300–700,Photodiode,25 000,25000,6,6,,,3.08 × 10^12 (D*sh),3.08e12,D*sh,≈100,100,approx,1.69/10,1.69,10,,30,30,2020,106,
ITO/ZnO/PBDB-T:Y6/MoOX/Ag,Trap-assisted carrier injection,,300–1000,Photodiode,8133,8133,2,2,,,4.23 × 10^12,4.23e12,,125,125,,0.02/0.59,0.02,0.59,,8900,8900,2023,33,
ITO/ZnO/PBDB-T:Y6/QDs/Ag,Trap-assisted carrier injection,,300–900,Photodiode,6565,6565,3,3,,,4.9 × 10^12,4.9e12,,105,105,,−/0.04,,0.04,rise_not_reported,7200,7200,2021,35,
ITO/TAPC/PbPc:C70/C70/MoOx:C70/BCP/Al,Trap-assisted carrier injection,,300–1000,Photodiode,6000,6000,8,8,,,1 × 10^12 (D*sh),1e12,D*sh,,,,16.3/33.7,16.3,33.7,,,,2023,107,
ITO/PEDOT:PSS/Poly-TPD:P3HT:PCBM/Al,Trap-assisted carrier injection,,300–700,Photodiode,3600,3600,20,20,,,1 × 10^12,1e12,,,,,/,,,not_reported,,,2021,108,
ITO/ZnO/PM6:Y6/CsPbI3 QDs/Ag,Trap-assisted carrier injection,,300–900,Photodiode,2000,2000,3,3,,,1 × 10^12 (D*sh),1e12,D*sh,123,123,,0.00035/−,3.5e-4,,fall_not_reported,125 000,125000,2023,34,
ITO/ZnO/PCE-10:COTIC-4F:BFDO-4F/MoOX/Ag,Trap-assisted carrier injection,,300–1200,Photodiode,5708,5708,2.5,2.5,,,1.13 × 10^12,1.13e12,,83,83,,2.37/0.58,2.37,0.58,,1000,1000,2025,29,
ITO/ZnxO:D149/PBDB-T:ITIC-Th/e-ZnO/Ag,Trap-assisted carrier injection,,400–900,Photodiode,3000,3000,2,2,,,1.5 × 10^12,1.5e12,,,,,0.03958/0.37614,0.03958,0.37614,,,,2024,90,
ITO/PEDOT:PSS/P3HT:ETBI-F/Al,Supressed poclation path,,300–800,Photodiode,156 000,156000,−20,-20,,,9.5 × 10^12,9.5e12,,85,85,,/,,,not_reported,,,2021,50,
ITO/PEDOT:PSS/P3HT:SMPV1/Al,Supressed poclation path,,650–750,Photodiode,63 000,63000,20,20,,,9.1 × 10^11,9.1e11,,,,,/,,,not_reported,17.5,17.5,2023,109,
ITO/PEDOT:PSS/P3HT:PC71BM/Al,Supressed poclation path,,300–700,Photodiode,31 700,31700,6,6,,,1.3 × 10^12,1.3e12,,123,123,,35/20,35,20,,,,2024,36,
ITO/PEDOT:PSS/Poly-TPD layer/P3HT:PC61BM/Al,Supressed poclation path,,300–700,Photodiode,21 400,21400,8,8,,,1 × 10^13,1e13,,114,114,,4/6,4,6,,87.5,87.5,2022,110,
Ag/LiF/Ag/ITO/PEDOT:PSS/P3HT:PC71BM/Al,Supressed poclation path,,300–400,Photodiode,9300,9300,15,15,,,8.3 × 10^11,8.3e11,,,,,420/190,420,190,,,,2022,31,
ITO/PDIN/Poly-TPD:Y6/MoOx/P3HT:PC71BM/Al,Supressed poclation path,,300–700,Photodiode,7500,7500,10,10,,,1.2 × 10^12,1.2e12,,,,,40/344,40,344,,,,2023,111,
ITO/ZnPc:C60/HATNA-Cl6/Al,Supressed poclation path,,300–900,Photodiode,6000,6000,−2.5,-2.5,,,2.2 × 10^12,2.2e12,,,,,0.54/0.65,0.54,0.65,,19 500,19500,2021,30,
ITO/PEDOT:PSS/P-TPD:P3HT/P3HT:PC71BM/Al,Supressed poclation path,,600–700,Photodiode,1120,1120,10,10,,,6.4 × 10^11,6.4e11,,150.6,150.6,,200/600,200,600,,,,2021,112,
ITO/BDP-OMe:C60/HATNA-Cl6/Al,Supressed poclation path,,300–900,Photodiode,600,600,−10,-10,,,1.8 × 10^13,1.8e13,,80,80,,/,,,not_reported,39 000,39000,2022,88,
ITO/ZnO/BHJ/BCP/Ag,Blocking-induced band bending,,300–1200,Photodiode,113 702,113702,−2,-2,,,5.7 × 10^13 (D*sh),5.7e13,D*sh,98,98,,0.25/1.17,0.25,1.17,,220,220,2025,45,
